,Name,Compl_Name,place_id,types,International Phone Number,Website,rating,user_ratings_total,vicinity,location.lat,location.lng,Google maps URL
21,Farmácia Silmar,,ChIJ-aSd0oUzGQ0Rb3VYj-g8Mdo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 885 2829,https://www.facebook.com/farmaciasilmar/,3.9,32.0,"R. de São Lázaro 128, Lisboa",38.719361,-9.137199,https://maps.google.com/?cid=15722414743662130543
22,Farmácia Albano,,ChIJqT0asn4zGQ0R0-X6DBsWOBE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 6750,http://www.farmaciaalbano.com/,4.5,19.0,"R. da Escola Politécnica 57 59, Lisboa",38.717263,-9.1494747,https://maps.google.com/?cid=1240766002778269139
23,Lobel,,ChIJZST-hl0zGQ0RUFqxIS8-8EE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 145 0232,http://falkloebel.com/,4.4,9.0,"R. Infantaria 16 98B, Lisboa",38.71841570000001,-9.1677721,https://maps.google.com/?cid=6435244794243453207
24,Farmácia da Lapa,,ChIJlwyCn500GQ0RARATNALSglQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 2246,https://www.farmaciasdeservico.net/f/442/Farmacia_da_Lapa/,5.0,6.0,"R. da Lapa 52 54, Lisboa",38.7104982,-9.1597115,https://maps.google.com/?cid=6089660553063763969
25,Farmácia Condestável,,ChIJldd-dV4zGQ0Rq2gZPVax15Y,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 6206,https://farmacia-condestavel.negocio.site/?utm_source=gmb&utm_medium=referral,4.3,9.0,"R. Coelho da Rocha 119, Lisboa",38.7161699,-9.1693543,https://maps.google.com/?cid=10869351209632360619
26,Farmácia União,,ChIJ_dFRPWEzGQ0RPWvXlHBrzlA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 868 1486,,3.6,12.0,"R. Saraiva de Carvalho 145F, Lisboa",38.7153043,-9.1644459,https://maps.google.com/?cid=8316665224436855472
27,Farmácia Camões,,ChIJR0_xBa80GQ0RsPPDoucO6cM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 347 3589,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00337,3.9,15.0,"Praça Luís de Camões 22 24, Lisboa",38.7104968,-9.1439316,https://maps.google.com/?cid=14116830895000515504
28,Farmácia Largo do Rato,,ChIJV5Gv2HozGQ0RDNVm2B8d_gA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 386 3044,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00736,3.5,57.0,"Av. Álvares Cabral 1, Lisboa",38.7194713,-9.1558376,https://maps.google.com/?cid=71526666696316172
29,Farmácia Açoreana,,ChIJKWaVYYE0GQ0RWrHbCB5krXg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 1330,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00272,4.3,16.0,"Largo Conde-Barão 2, Lisboa",38.7088383,-9.1508138,https://maps.google.com/?cid=8695716535682707802
30,Farmácia Central Da Lapa, Unipessoal,ChIJr63RcZ00GQ0RiEWomAF9aXs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 1734,,4.0,2.0,"R. Navegantes 10, Lisboa",38.7110582,-9.1589281,https://maps.google.com/?cid=8892776385029358984
31,Farmácia Frazão,,ChIJaWoZK4EzGQ0RI49iKKMCYPQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 8180,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=03395,4.1,8.0,"R. das Portas de Santo Antão 70, Lisboa",38.7159518,-9.1400846,https://maps.google.com/?cid=17609077442799111971
32,Farmácia Porfírio,,ChIJP_9eXmczGQ0RdWvPaq8E_n8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 3349,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=18457,4.6,23.0,"R. Francisco Metrass 59, Lisboa",38.7171613,-9.1665781,https://maps.google.com/?cid=9222814238359120757
33,Farmácia Normal,,ChIJm7Sring0GQ0REALgJFuoM28,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 7284,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00841,3.3,10.0,"Rua da Prata 220, Lisboa",38.7122736,-9.1373463,https://maps.google.com/?cid=5036097717369164610
34,Farmácia Linaida,,ChIJHy3NNGEzGQ0RCCNVRYBKrLQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 395 2641,https://www.farmaciaemcasa.pt/farmacia/farmacia-linaida,4.5,34.0,"R. Ferreira Borges 42 48, Lisboa",38.7166301,-9.1638366,https://maps.google.com/?cid=13018862537600738056
35,Farmácia Castro Fonseca,,ChIJZYc34WYzGQ0RR9qVqjHXGx4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 388 8857,https://www.farmaciasdeservico.net/f/817/Farmacia_Castro_Fonseca/,4.9,14.0,"R. 4 de Infantaria 28A, Lisboa",38.7180726,-9.1647379,https://maps.google.com/?cid=2169564253824342599
36,Drogaria Central,,ChIJY_fdWHg0GQ0Ru5ubj9BmJ2I,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 081 3935,https://www.instagram.com/drogariacentrallojadediscos/,4.2,12.0,"Rua da Prata 192, Lisboa",38.7118182,-9.137165,https://maps.google.com/?cid=3204303411353409712
37,Barral Pharmacy,,ChIJ9yJe7Hg0GQ0RXWeaHUYJnWc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 347 6141,,3.5,62.0,"R. Augusta 225, Lisboa",38.7119864,-9.1383729,https://maps.google.com/?cid=7466133953999169373
38,Farmácia Andrade,,ChIJDblQVH40GQ0RX_4ZaCslVkw,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 395 5257,,3.4,7.0,"Rua do Alecrim 125, 1200, 016, Lisboa",38.7103174,-9.1431594,https://maps.google.com/?cid=17430127456171280506
39,Farmácia Cais do Sodré,,ChIJ_boaeH00GQ0RbslDw6lzqRg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 346 9120,https://farmaciacaisdosodre.pt/,4.1,15.0,"Terminal Fluvial Cais Sodré, R. da Cintura do Porto de Lisboa, Lisboa",38.7052167,-9.145018,https://maps.google.com/?cid=1777078700937038190
40,Farmácia Gama,,ChIJJ5xv7WIzGQ0RGNIV1pUvcDs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 936 780 261,https://www.wells.pt/,5.0,4.0,"Calçada da Estrela 130, Lisboa",38.7132398,-9.158714,https://maps.google.com/?cid=10957279792239818963
41,Paiva da Costa,,ChIJNQCL0Z00GQ0R_e_VRp9KdEA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 4414,,3.8,11.0,"R. da Lapa 105, Lisboa",38.7091955,-9.1617454,https://maps.google.com/?cid=4644419163674505213
42,FARMÁCIA ESTRELA,,ChIJQ0DkaEs1GQ0Rw1lyAtOGo5s,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,,1.0,1.0,"Av. Infante Santo 66, Lisboa",38.7095411,-9.1661429,https://maps.google.com/?cid=14707827054314282505
43,Farmácia Aurélio Rego,,ChIJ74AIsGIzGQ0R0B9sswKD1Zs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 1758,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=09091,5.0,5.0,"Calçada da Estrela 139, Lisboa",38.7126255,-9.1573661,https://maps.google.com/?cid=11229025293541580752
44,Farmacia Ultramarina , Maria Jose Vieira Diogo,ChIJd6uRuIA0GQ0RrXwgr56RAf8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 1771,,0.0,0.0,"Rua de S. Paulo 99, Lisboa",38.70832230000001,-9.1470422,https://maps.google.com/?cid=18375128065377336493
45,Farmácia Castro Machado,,ChIJzRUnwwQzGQ0RndT4q47q0x4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,,1.0,1.0,"Rua da Farmcia, s/n, lugar da ponte, Charneca",38.7152114,-9.1483682,
46,Farmácia Santa Justa,,ChIJJWN9ZHg0GQ0RuRJQe-trVRY,"['drugstore', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 885 5333,,4.0,103.0,"R. de Santa Justa 8, Lisboa",38.71285200000001,-9.1370338,https://maps.google.com/?cid=1609311100985152185
47,Well's,,ChIJDdWr6Sw1GQ0Rppey4z_5tFA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 912 229 584,https://m.facebook.com/MorePharma/,3.9,7.0,"R. Augusta 181 3, Lisboa",38.7113138,-9.1380525,https://maps.google.com/?cid=11749750858707462484
48,Qbp , Quanto Baste Para,ChIJpdKFImEzGQ0RLzmqO_PS81I,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 390 2278,,0.0,0.0,"R. Saraiva de Carvalho 145F, Lisboa",38.7153043,-9.1644459,https://maps.google.com/?cid=5977353072570677551
49,Farmácia Mouraria,,ChIJzcANxoczGQ0RXQtsYg76V0g,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 886 0464,https://www.farmaciasdeservico.net/f/7293/Farmacia_Mouraria/,4.6,18.0,"R. da Mouraria 8 16, Lisboa",38.7154983,-9.1356293,https://maps.google.com/?cid=5212910033392372573
50,Well's Rato,,ChIJr-S3AnszGQ0R8L-lUKNEs2k,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 386 7606,http://www.wells.pt/,4.5,10.0,"Largo do Rato 8C 9, Lisboa",38.71986700000001,-9.1545693,https://maps.google.com/?cid=7616506863037038576
51,Maria Paula Pedrosa Noivo, Sociedade Unipessoal Lda.,ChIJYfqMMYIzGQ0RpQLMlc47Bao,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 347 7052,,3.9,7.0,"Rua das Pretas 12, Lisboa",38.71897999999999,-9.1432239,https://maps.google.com/?cid=12251264119793779365
52,Drogaria Dona Laurinda,,ChIJVXoKEng0GQ0RyXYRyZ9ZcLs,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 886 2473,http://www.facebook.com/donalaurinda,5.0,2.0,"R. de São Cristóvão 10, Lisboa",38.7129891,-9.1356578,https://maps.google.com/?cid=13506393825292154569
53,Farmácia Pinheiro,,ChIJeYgAMmYzGQ0Rz_wMQGH9NNU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 354 7926,,3.5,2.0,"R. Campo de Ourique 131, Lisboa",38.7210132,-9.1646816,https://maps.google.com/?cid=5545549583936943202
54,Farmácia Morais Sarmento,,ChIJrcU0kIIzGQ0RSvKQ9f50Cu0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 354 6490,,4.9,12.0,"R. Rodrigues Sampaio 21A, Lisboa",38.7219174,-9.1458787,https://maps.google.com/?cid=17080593175146459722
55,Farmácia Martim Moniz,,ChIJP8VJMoYzGQ0RGrEdroz1zLY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 886 3350,https://www.farmaciasdeservico.net/f/3433/Farmacia_Martim_Moniz/,3.5,51.0,"R. da Palma 194, Lisboa",38.7171282,-9.1356849,https://maps.google.com/?cid=13172172994717266202
56,Farmácia Braamcamp,,ChIJ4-wED3ozGQ0R6zwCuASrOiU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 386 3409,http://farmaciabraamcamp.pt/pt,3.6,14.0,"R. Braamcamp 52C, Lisboa",38.7223596,-9.1520653,https://maps.google.com/?cid=2682644564807924971
57,Clínica da Farma&cia,,ChIJj7E67pgzGQ0ROqh0X6_GBkA,"['health', 'point_of_interest', 'establishment']",+351 21 386 1311,http://clinicadafarma-cia.pt/,3.0,2.0,"R. de São Bento 365 a, Lisboa",38.7192881,-9.1557999,https://maps.google.com/?cid=4613593324810709050
58,National Pharmacy Association,,ChIJdwqU9IA0GQ0RyC1opjRutag,"['point_of_interest', 'establishment']",+351 21 340 0600,http://www.anf.pt/,4.5,117.0,"R. Mal. Saldanha 1, Lisboa",38.7101403,-9.1471394,https://maps.google.com/?cid=12156743941565722056
59,Farmácia Lisbonense,,ChIJW5n7-qU0GQ0RqhNs7qxtg90,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 7020,https://www.facebook.com/Farm%C3%A1cia-Lisbonense-600141033397575/,3.5,4.0,"R. Leão de Oliveira 2B, Lisboa",38.7048069,-9.1783475,https://maps.google.com/?cid=15961722093833032618
60,Farmácia Lidia Almeida,,ChIJm7zaWI3LHg0R7zS2A1m8p2I,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 365 8062,http://www.farmaciaemcasa.pt/,3.7,9.0,"Calçada da Ajuda 170, Lisboa",38.7037343,-9.1993431,https://maps.google.com/?cid=7108857627328001263
61,Farmácia Gomes Suc.,,ChIJY1D4C07LHg0R8f8bvQebZKg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 8193,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=17558,5.0,3.0,"R. da Junqueira 326 328, Lisboa",38.69759519999999,-9.1959278,https://maps.google.com/?cid=12133993753582764017
62,Farmácia Santo Amaro,,ChIJoxgmHKw0GQ0R4jS1ejllfPU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 9067,http://facebook.com/drogariasantoamaro/,4.8,19.0,"R. Filinto Elísio 29B, Lisboa",38.7036099,-9.1845613,https://maps.google.com/?cid=14012210787891023968
63,Farmácia Teles,,ChIJKfXx6Ks0GQ0RgsC2G5EWG4U,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 8176,https://www.farmaciateles.com/,4.6,25.0,"R. João de Barros 2 A, Lisboa",38.7056297,-9.1851873,https://maps.google.com/?cid=9591284643906633858
64,Farmácia Correia de Azevedo,,ChIJkwyRBK80GQ0RENWhOguMSBE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 8625,,4.1,12.0,"R. Luís de Camões 42B, Lisboa",38.70290019999999,-9.1812094,https://maps.google.com/?cid=17224977294036178276
65,Farmácia Mendes Gomes,,ChIJ8UiEPlfLHg0RmOVX9w4tl_E,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 405 1799,https://www.farmaciasdeservico.net/f/17671/Farmacia_Mendes_Gomes/,4.8,13.0,"Calçada da Ajuda 220 222, Lisboa",38.7045544,-9.199266,https://maps.google.com/?cid=17408432426926466456
66,Farmácia do Calvário,,ChIJD5M836U0GQ0RDwBxFzF8GEA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 1635,https://farmacia24.eu/?utm_source=google&utm_medium=google-my-business&utm_campaign=gmb-farmacia-24&utm_content=organic-clique-botao-website-farmacia-calvario,3.8,29.0,"R. José Dias Coelho 2, Lisboa",38.7050878,-9.1771954,https://maps.google.com/?cid=4618577968156966927
67,Farmácia Boa Hora, Unipessoal Lda.,ChIJhx_L9LkzGQ0RmCvYQGTxcNk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 361 7130,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=13463,3.8,6.0,"Rua dos Quartéis 25 27, Lisboa",38.702933,-9.194173,https://maps.google.com/?cid=15668288516508887960
68,Farmácia Amparo Alcântara,,ChIJ2UzHvaY0GQ0R2WkURRzaRb8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 095 3495,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00396,4.5,8.0,"R. Alcântara 5A B, Lisboa",38.7064367,-9.1742789,https://maps.google.com/?cid=13782662049590176217
69,Farmácia Avenida de Ceuta,,ChIJ3c4BUyEzGQ0RzmMgOBI-KbA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 050 3352,https://www.facebook.com/farmaciaavenidaceuta,4.5,8.0,"Av. de Ceuta Lote 2 Loja 2, Lisboa",38.712239,-9.1746345,https://maps.google.com/?cid=12693745272692433870
70,Farmácia Probidade,sociedade Unipessoal Lda,ChIJqcnKlaY0GQ0RT2t8oBRQRUo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 8589,https://www.facebook.com/farmaciaprobidade/,4.4,13.0,"R. Alcântara 15A B, Lisboa",38.7063604,-9.174882600000002,https://maps.google.com/?cid=5351771781721779023
71,Farmácia Sepol,,ChIJVz3J5lLLHg0RLnXVE4Gu7xE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 363 1958,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=12742,3.9,7.0,"Calçada da Boa Hora 94A, Lisboa",38.7010965,-9.191533,https://maps.google.com/?cid=1292443487485392174
72,Farmácia do Cruzeiro,,ChIJc9nF0FTLHg0R88Tjtp918S8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 931 0870,https://farmcruzeiro.negocio.site/,4.3,9.0,"R. do Cruzeiro 52A, Lisboa",38.7063992,-9.1905474,https://maps.google.com/?cid=7951514503975150924
73,Ajuda,,ChIJa7OQml_LHg0RsoY-W_RJLDQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,http://www.jf-ajuda.pt/,4.5,2.0,"Calçada da Boa Hora, Lisboa",38.7013571,-9.1919461,"https://maps.google.com/?q=Ajuda,+Lisboa,+Portugal&ftid=0xd1ecca8dfaa417b:0x500ebbde49040a0"
74,Farmácia Moura,,ChIJO-GPEVrLHg0RR3MWNES4Eug,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 963 484 718,https://www.facebook.com/farmaciadapaia/,4.8,12.0,"Tv. da Memória 45B, Lisboa",38.7021342,-9.2017503,https://maps.google.com/?cid=2417302456435239639
75,Farmacia Pinto , Idalina Da Conceição De Morais Parada Nobrega De Matos,ChIJuZPTSWkzGQ0RfuQ2XShZICY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 388 2610,https://www.farmaciasdeservico.info/lisboa/lisboa/farmacia-pinto_531/,4.4,5.0,"R. de Campolide 11A, Lisboa",38.725893,-9.162805,https://maps.google.com/?cid=2747293802593444990
76,Farmácia dos Jerónimos,,ChIJlVq01ovLHg0RUYwW3yza778,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 301 1454,,3.9,15.0,"R. de Belém 89, Lisboa",38.6972199,-9.203041,https://maps.google.com/?cid=13830512866934295633
77,Bairro da Saúde , Farmácia Cartaxo,ChIJQZZAPKszGQ0Rwkwe-gJQsss,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 849 7958,https://www.bairrodasaude.pt/,4.8,16.0,"Av. da Igreja, Lisboa",38.7536421,-9.1418933,https://maps.google.com/?cid=14677882109270314178
78,Farmácia Garantia,,ChIJXX5YxbozGQ0RkGtIygzZqCI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 848 7300,http://facebook.com/farmaciagarantialisboa,3.8,11.0,"Av. Padre Manuel da Nóbrega 5A, Lisboa",38.7430482,-9.1338539,https://maps.google.com/?cid=2497484642333518736
79,Farmácia Duque de Ávila,,ChIJGd2Ka6AzGQ0RFrIG-pE8r30,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 354 3495,http://www.afarmaciaonline.pt/,4.4,13.0,"Av. Duque de Ávila 32C D, Lisboa",38.7353286,-9.1446092,https://maps.google.com/?cid=9056523973328024086
80,Farmácia João XXI,,ChIJO4wnA6UzGQ0R8Fldcxw48is,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 848 6848,http://www.facebook.com/farmaciajoaoxxi,3.5,21.0,"Av. João XXI 13A, Lisboa",38.7422325,-9.1363191,https://maps.google.com/?cid=3166655182840617456
81,Farmácia Esperança,,ChIJ4bIO67wzGQ0R47nM7OBkR4w,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 848 2868,https://www.facebook.com/FarmaciaEsperancaLisboa/,3.8,21.0,"R. Carlos Mardel 101 - B, Lisboa",38.7383581,-9.1329884,https://maps.google.com/?cid=10108158805864659427
