,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,Phone Number,International Phone Number,Website,Google maps URL,price_level
10,OPERATIONAL,"{'location': {'lat': 38.7083652, 'lng': -9.1532143}, 'viewport': {'northeast': {'lat': 38.70967937989272, 'lng': -9.15184322010728}, 'southwest': {'lat': 38.70697972010728, 'lng': -9.154542879892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Conde Barão,{'open_now': True},"[{'height': 790, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110042285809952950720"">Farmácia Do Conde Barão</a>'], 'photo_reference': 'Aap_uEDs3vK9cXZuN3iWl2K_aioqcmmcGZ29K1lloXx0RvvlP8kwToiLyhCZ5LcWZcko1BhVH1p3kHmJyxfwgEI2kXnf40yyZNdjEnDk2IV0-PhilRvfEtXoTU7u3ekVRpQGQzJp_Kx7Kp-oSkyZKsnWMs98mp2Rxik3rhxFjqHp1hP7THys', 'width': 1080}]",ChIJWQ7jl4M0GQ0R-8yDz1gVPCQ,"{'compound_code': 'PR5W+8P Lisbon', 'global_code': '8CCGPR5W+8P'}",4.0,ChIJWQ7jl4M0GQ0R-8yDz1gVPCQ,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",27.0,"Calçada Marquês Abrantes 36, Lisboa",21 396 4238,+351 21 396 4238,https://farmacia-conde-barao.negocio.site/,https://maps.google.com/?cid=2610985355150871803,
11,OPERATIONAL,"{'location': {'lat': 38.7118128, 'lng': -9.1644128}, 'viewport': {'northeast': {'lat': 38.71320177989272, 'lng': -9.163101720107276}, 'southwest': {'lat': 38.71050212010728, 'lng': -9.16580137989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Alb,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107910619316119567399"">Nuno Laranjeira</a>'], 'photo_reference': 'Aap_uED8DiToejtQqoy3fsKLDRR10_2MnaLcRFLCXlgojJ1a7ef_ToPE6yyfvK5jQAbkC7rZCvfqqet2ADXdse1CGacjjwZXeoJhQumOpHNNiab2k_gh5KhJ7MyrFMwfOTMoe-NluuPBxiVQYvO8dR1_SkOROaNCW86919IXn2dik_XYac5w', 'width': 4624}]",ChIJJe_u0GEzGQ0RMznqBknAFOc,"{'compound_code': 'PR6P+P6 Lisbon', 'global_code': '8CCGPR6P+P6'}",5.0,ChIJJe_u0GEzGQ0RMznqBknAFOc,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",8.0,"R. de Sant'Ana à Lapa 133, Lisboa",21 396 3562,+351 21 396 3562,http://www.facebook.com/farmacia.alb,https://maps.google.com/?cid=16651145142176725299,
12,OPERATIONAL,"{'location': {'lat': 38.7195155, 'lng': -9.1459799}, 'viewport': {'northeast': {'lat': 38.72090062989272, 'lng': -9.14465987010728}, 'southwest': {'lat': 38.71820097010728, 'lng': -9.147359529892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Nacional,{'open_now': True},"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105295017187435691901"">Alejandro Quesada</a>'], 'photo_reference': 'Aap_uEAnyhciFHVGpNYgCzjY3TBnNBTG9pA_YABk5AjM6mtiPAjkHQsP1-5sjCrKe6I7l0f3kJ0IWf_2kbyTKVCj9mClgmQd1eROOktTBgR5fz4LsiTNvt0qQjVcyVadotXO1AkbW0Da3fTSaznc1VMw2hzUtF1ljaz13LH0WYECbOkMhJGX', 'width': 3472}]",ChIJs-LOnngzGQ0R9MnDNDtwYwg,"{'compound_code': 'PV93+RJ Lisbon', 'global_code': '8CCGPV93+RJ'}",4.5,ChIJs-LOnngzGQ0R9MnDNDtwYwg,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",11.0,"R. do Salitre 7, Lisboa",21 882 2232,+351 21 882 2232,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=17582,https://maps.google.com/?cid=3832938997281123913,
13,OPERATIONAL,"{'location': {'lat': 38.7107781, 'lng': -9.144469299999999}, 'viewport': {'northeast': {'lat': 38.71212792989272, 'lng': -9.143119470107276}, 'southwest': {'lat': 38.70942827010727, 'lng': -9.14581912989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Barreto,{'open_now': True},"[{'height': 4008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394010291536486562"">Diego van de Kamp</a>'], 'photo_reference': 'Aap_uEDDJSZfAAiBLkrb8amBb4XIHz0OtluZ5RQRm_cPIUDEgjPGuDGuykp0RwSfLiW6s0iATJTN3zHKD7DoxFr7D8EbkYWzy5PHPeF1rygGXoDYo4QL7KmEshaDnl4nDoNjmTVwIII0gos82NQJTbzzu6B86SZdyT6JOZdUWnUdwg-1AgGv', 'width': 5344}]",ChIJ2wSHyX80GQ0RQtPxCTHQ40U,"{'compound_code': 'PV64+86 Lisbon', 'global_code': '8CCGPV64+86'}",4.5,ChIJ2wSHyX80GQ0RQtPxCTHQ40U,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",19.0,"Rua do Loreto 24 30, Lisboa",21 342 7284,+351 21 342 7284,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00841,https://maps.google.com/?cid=5036097717369164610,
14,OPERATIONAL,"{'location': {'lat': 38.71518880000001, 'lng': -9.151180799999999}, 'viewport': {'northeast': {'lat': 38.71652597989272, 'lng': -9.149796920107278}, 'southwest': {'lat': 38.71382632010727, 'lng': -9.152496579892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Confiança,{'open_now': True},"[{'height': 5984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111570428879723436662"">Pedro Libório</a>'], 'photo_reference': 'Aap_uEAVCzdxNNNwhhx6w2kHxbTrRghStqZXUpIgg70lsCOfPOELC5CYP-buImHfgIVvB2ql4Rot74cEYveevZ7zsk3AV4RlyW8roH4B84dmXaeX8HDGZCy08h92btIZXO_2RACJ-G6GgPn3HN610dSi6imUKP5an1umKojeJfiBh68PkOrm', 'width': 3366}]",ChIJueqHKnwzGQ0RmIY9hG6TYhk,"{'compound_code': 'PR8X+3G Lisbon', 'global_code': '8CCGPR8X+3G'}",3.8,ChIJueqHKnwzGQ0RmIY9hG6TYhk,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",12.0,"Praça das Flores 58, Lisboa",21 495 1703,+351 21 495 1703,,https://maps.google.com/?cid=10615212434644824590,
15,OPERATIONAL,"{'location': {'lat': 38.7201598, 'lng': -9.161245599999999}, 'viewport': {'northeast': {'lat': 38.72151362989271, 'lng': -9.159910570107279}, 'southwest': {'lat': 38.71881397010727, 'lng': -9.162610229892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Almeida,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112890555759302499748"">A Google User</a>'], 'photo_reference': 'Aap_uEAsuMPOWVbtz6E5tGZhZNYeb6uW_y9ioVnSd5qiWzvS51F2u_V3JWBC4NN35uU9lZrZj94QO8hrcJOEntqDFF0um80YlvMLmhXaGY-6XV0C43TiEPbYqEsYYKP8NqK5QY0LRQ-Y74C1tlDyExohzdCJAoAGUpA7euLx6MMZw08YlJQ-', 'width': 4032}]",ChIJ7S_CxWUzGQ0RFlgp3wvbdEI,"{'compound_code': 'PRCQ+3G Lisbon', 'global_code': '8CCGPRCQ+3G'}",4.8,ChIJ7S_CxWUzGQ0RFlgp3wvbdEI,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",16.0,"R. Silva Carvalho 136 R/C, Lisboa",21 931 5446,+351 21 931 5446,https://www.farmaciasdeservico.net/localidade/lisboa/odivelas,https://maps.google.com/?cid=10931616845886597424,
16,OPERATIONAL,"{'location': {'lat': 38.7134426, 'lng': -9.1634754}, 'viewport': {'northeast': {'lat': 38.71473847989272, 'lng': -9.162107570107278}, 'southwest': {'lat': 38.71203882010728, 'lng': -9.164807229892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Marques Freire,{'open_now': True},,ChIJJc_xl2EzGQ0RLLp1KzPJUzs,"{'compound_code': 'PR7P+9J Lisbon', 'global_code': '8CCGPR7P+9J'}",4.5,ChIJJc_xl2EzGQ0RLLp1KzPJUzs,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",2.0,"R. Santo António à Estrela 98, Lisboa",21 395 9986,+351 21 395 9986,,https://maps.google.com/?cid=4274981692914383404,
17,OPERATIONAL,"{'location': {'lat': 38.709797, 'lng': -9.151632}, 'viewport': {'northeast': {'lat': 38.71118122989272, 'lng': -9.150301220107277}, 'southwest': {'lat': 38.70848157010728, 'lng': -9.153000879892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Moz Teixeira,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112528018612776792501"">Farmacia Moz Teixeira</a>'], 'photo_reference': 'Aap_uEDZyK-Z1NAGR-NW5yQWzmb8yXQ4CB_FiUw3qY0pmZlrVcHggAORR_i9Aq0P81f8J--mzLG9aVQxnE0YkLhwT9X5AgmNO158UNEQlTqkr0DlpbwZdHLQGSI-m6X0Xdzc33tQCfCfFUFd7Fy_clT4wNZ9yEFz0CSTJzZO5tIocfX1uriS', 'width': 1536}]",ChIJEeTTLII0GQ0RDgTOtGB6ATw,"{'compound_code': 'PR5X+W8 Lisbon', 'global_code': '8CCGPR5X+W8'}",3.8,ChIJEeTTLII0GQ0RDgTOtGB6ATw,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",12.0,"R. do Poço dos Negros 115, Lisboa",21 390 0670,+351 21 390 0670,,https://maps.google.com/?cid=4323871673021236238,
18,OPERATIONAL,"{'location': {'lat': 38.712685, 'lng': -9.1579104}, 'viewport': {'northeast': {'lat': 38.71409067989273, 'lng': -9.15657622010728}, 'southwest': {'lat': 38.71139102010729, 'lng': -9.159275879892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Martins,{'open_now': True},"[{'height': 403, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115518267462238168838"">A Google User</a>'], 'photo_reference': 'Aap_uEDjAZg04dABaxWi65tBj7jjzO_1Gz52_7PcNIDNte5TNYbWdbabcvjPsyFe5vbMKNrSt-MAZ89NpFMpqFcgLKWoZcYvXWqp8MSa29ETNW3qjdVvy2tj832SnHwqNIswLDK2nJEiJ6sggZfnG1c12I4LduPtquDpfwY7Ti1dH7NubQoA', 'width': 506}]",ChIJC1BSvGIzGQ0REnmItMNaRkQ,"{'compound_code': 'PR7R+3R Lisbon', 'global_code': '8CCGPR7R+3R'}",4.6,ChIJC1BSvGIzGQ0REnmItMNaRkQ,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",24.0,"Calçada da Estrela 167, Lisboa",21 974 7855,+351 21 974 7855,,https://maps.google.com/?cid=733251627613175202,
19,OPERATIONAL,"{'location': {'lat': 38.7155767, 'lng': -9.1547171}, 'viewport': {'northeast': {'lat': 38.71692652989273, 'lng': -9.153367270107278}, 'southwest': {'lat': 38.71422687010728, 'lng': -9.156066929892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Castro Sucr.,{'open_now': True},"[{'height': 651, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113188734017251816464"">Mário Correia</a>'], 'photo_reference': 'Aap_uEDkQkLwBVVlA8zLW0KpCw9HpNic2VMwjnoo3cwcgC14fmu4KJpqa1TDNgQCNiE8odZJ2OOHFuaNTqVH_NcPLRenBNR6tk0mgYHMWd2o3RoDjANV97RknGqEqGrYW1FabjITYL4cypRf8ITUnv1YA25awC7_6TT_vj7V3M56-4usay3G', 'width': 1024}]",ChIJvSHY8XwzGQ0RMSxjSG7gg2w,"{'compound_code': 'PR8W+64 Lisbon', 'global_code': '8CCGPR8W+64'}",5.0,ChIJvSHY8XwzGQ0RMSxjSG7gg2w,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",8.0,"R. de São Bento 199A, Lisboa",21 396 0513,+351 21 396 0513,,https://maps.google.com/?cid=7819340142310796337,
